TIMESTAMP,POWER,U10,V10,U100,V100
20150102 06:00,0.99583012618536,13.3944,1.69447,19.7516,1.97192
20150102 07:00,NA,15.6465,-0.24129,22.7609,-0.813698
20150102 08:00,NA,13.4216,-2.60424,19.5663,-4.06575
20150102 09:00,0.987267731963076,13.2359,-1.97453,19.1747,-3.25018
20150102 10:00,NA,13.6502,-1.89612,19.7145,-3.0726
20150102 11:00,NA,13.5391,-2.44786,19.5212,-3.79549
20150102 12:00,0.995431877433527,13.4156,-2.0881,19.2226,-3.22373
20150102 13:00,NA,13.2092,-1.75603,18.9256,-2.8578
20150102 14:00,NA,13.1192,-3.3495,18.7779,-5.05194
20150102 15:00,0.996320684058849,13.2819,-3.42633,19.081,-5.24722
20150102 16:00,NA,12.8893,-3.40066,18.5221,-5.29885
20150102 17:00,NA,12.2058,-3.79699,17.5197,-5.75178
20150102 18:00,0.991100134396748,13.3113,-3.82601,18.9641,-5.79964
20150102 19:00,NA,12.3124,-3.90045,17.7456,-5.84444
20150102 20:00,NA,12.34,-3.07974,17.5592,-4.62217
20150102 21:00,0.991617845962865,13.6525,-5.80513,19.2867,-8.48623
20150102 22:00,NA,12.1632,-3.55828,17.9819,-5.61421
20150102 23:00,NA,13.8433,-3.12876,19.7182,-4.70884
20150103 00:00,0.995593992966229,13.8138,-3.05864,19.7777,-4.59466
20150103 01:00,NA,13.615,-0.949352,19.5641,-1.61703
20150103 02:00,NA,13.0152,0.670245,18.7289,0.861682
20150103 03:00,0.994633478975624,13.9683,1.93014,20.1985,2.4725
20150103 04:00,NA,14.1249,1.26948,20.4886,1.45778
20150103 05:00,NA,14.6604,-0.225282,21.1803,-0.674714
20150103 06:00,0.963748018552848,13.8077,-2.159,19.7406,-3.32159
20150103 07:00,NA,10.9272,-1.68293,15.8908,-2.69715
20150103 08:00,NA,9.73262,-2.14354,14.2707,-3.40539
20150103 09:00,0.948926855849156,8.90464,-2.43517,12.9823,-3.78826
20150103 10:00,NA,8.50271,-3.11194,12.1588,-4.65799
20150103 11:00,NA,7.8297,-3.78684,11.0986,-5.54997
20150103 12:00,0.941353327259402,7.31661,-3.85111,10.233,-5.62048
20150103 13:00,NA,7.80846,-4.13541,10.9936,-6.14571
20150103 14:00,NA,8.49436,-5.15374,12.0711,-7.51675
20150103 15:00,0.935846692526211,8.38812,-4.97182,11.9818,-7.32829
20150103 16:00,NA,8.90365,-4.58507,12.6633,-6.81274
20150103 17:00,NA,8.76964,-5.39281,12.4589,-7.90521
20150103 18:00,0.93605552603955,8.77587,-5.49641,12.6253,-8.13098
20150103 19:00,NA,9.27777,-5.44924,13.2945,-8.05513
20150103 20:00,NA,8.91166,-5.68196,12.8063,-8.3889
20150103 21:00,0.946750627248194,5.2467,-8.55775,7.37244,-12.4129
20150103 22:00,NA,5.09489,-7.62847,7.24863,-11.2457
20150103 23:00,NA,5.95339,-7.10308,8.5732,-10.5376
20150104 00:00,0.915224863242831,6.35777,-6.82043,9.15019,-10.0998
20150104 01:00,NA,5.37711,-6.97298,7.76062,-10.254
20150104 02:00,NA,5.16016,-7.8362,7.30828,-11.355
20150104 03:00,0.849586028321998,5.03808,-7.11536,7.21261,-10.4771
20150104 04:00,NA,5.9036,-6.48656,8.39548,-9.53297
20150104 05:00,NA,6.30357,-6.40287,8.95203,-9.35419
20150104 06:00,0.839223613888965,6.33717,-6.56359,9.00136,-9.60182
20150104 07:00,NA,6.38054,-6.9268,9.10359,-10.1168
20150104 08:00,NA,6.36144,-7.25702,9.07147,-10.6037
20150104 09:00,0.919981621350102,6.25692,-7.33303,8.90105,-10.7401
20150104 10:00,NA,5.77641,-7.16662,8.09295,-10.4052
20150104 11:00,NA,5.40858,-7.50439,7.49026,-10.7235
20150104 12:00,0.887478512663343,4.97965,-6.40857,6.88746,-9.17727
20150104 13:00,NA,5.16948,-6.28157,7.2261,-9.10415
20150104 14:00,NA,5.22751,-5.71898,7.4769,-8.53332
20150104 15:00,0.759193546740723,5.22875,-5.1475,7.66768,-7.91631
20150104 16:00,NA,5.32566,-5.3793,7.84784,-8.18144
20150104 17:00,NA,5.39874,-5.15781,7.95506,-7.85273
20150104 18:00,0.722167267996087,5.95317,-5.17539,8.76925,-7.80331
20150104 19:00,NA,6.4231,-4.35326,9.4741,-6.55182
20150104 20:00,NA,6.74441,-4.02183,9.90955,-6.07717
20150104 21:00,0.906784515704811,6.18965,-3.46,9.28078,-5.36579
20150104 22:00,NA,6.34261,-2.73913,9.72651,-4.41887
20150104 23:00,NA,7.16757,-2.06059,10.8541,-3.40988
20150105 00:00,0.905907598410463,7.21762,-1.91205,10.8536,-3.16809
20150105 01:00,NA,8.02635,-2.2283,12.0449,-3.69643
20150105 02:00,NA,7.21396,-2.52871,10.9679,-4.21035
20150105 03:00,0.64908040549739,6.37564,-2.3449,9.75198,-3.99174
20150105 04:00,NA,6.0644,-1.8359,9.41955,-3.23267
20150105 05:00,NA,5.76168,-1.79426,9.06755,-3.21072
20150105 06:00,0.548470063646502,5.40951,-1.85656,8.53657,-3.27758
20150105 07:00,NA,4.53051,-1.49364,7.31001,-2.82498
20150105 08:00,NA,4.42017,-0.720638,7.23126,-1.66499
20150105 09:00,0.523084207663376,4.75499,-0.181839,7.4613,-0.691705
20150105 10:00,NA,4.94873,0.189203,7.41036,-0.0350151
20150105 11:00,0.355426602987541,4.76707,0.476787,7.07662,0.436271
20150105 12:00,0.525862336706199,5.16257,0.38358,7.08324,0.295854
20150105 13:00,0.558183961178471,4.35524,0.34822,6.03708,0.28167
20150105 14:00,0.289414180978326,2.97653,0.795388,4.41085,0.841255
20150105 15:00,0.0553641556346276,1.54198,1.00398,2.99094,1.16667
20150105 16:00,0.0168714220174933,0.539399,1.70159,1.91082,2.31483
20150105 17:00,0.0226749543071928,0.385346,2.42216,1.82271,3.71692
20150105 18:00,0.0619799714274326,0.90156,2.77465,2.64709,4.23511
20150105 19:00,0.0573989228315838,1.48659,2.482,3.498,3.71708
20150105 20:00,0.0253907511842634,1.54821,2.15592,3.65306,3.26963
20150105 21:00,0.054008738343718,1.31883,2.28768,3.38431,3.63262
20150105 22:00,0.0734736630071859,1.37624,2.66546,3.42722,4.24326
20150105 23:00,0.12295300290943,1.15431,2.94203,3.0909,4.75939
20150106 00:00,0.156762739436993,1.16737,3.28306,3.10258,5.39493
20150106 01:00,0.318186761137572,0.222856,3.69169,1.54304,6.44061
20150106 02:00,0.277556940467469,0.868608,4.29151,2.3617,6.85566
20150106 03:00,0.429181300070331,0.681905,4.74696,1.90321,7.42514
20150106 04:00,0.67849907174756,0.144681,5.1971,1.03387,8.05824
20150106 05:00,0.727755563620884,-0.538862,5.69968,-0.0269567,8.76378
20150106 06:00,0.783331650452976,-0.952363,6.03184,-0.647941,9.48994
20150106 07:00,0.743284169434613,-1.1582,6.28583,-1.02514,9.88978
20150106 08:00,0.797832597679095,-1.63663,6.60559,-1.88704,10.1373
20150106 09:00,0.742473855776359,-1.56326,7.10226,-1.91283,10.4258
20150106 10:00,0.775755186664571,-1.33591,7.0839,-1.51969,10.2753
20150106 11:00,0.796727146581529,-1.58765,7.54237,-1.89597,10.6468
20150106 12:00,0.876734997964611,-1.67053,8.0403,-2.06091,11.3322
20150106 13:00,0.875005901229767,-1.33995,8.30317,-1.59303,11.7705
20150106 14:00,0.866864969936196,-1.06792,8.08684,-1.21467,11.7224
20150106 15:00,0.850985050959951,-1.26128,7.76729,-1.49338,11.244
20150106 16:00,0.821643206634835,-1.48469,7.71787,-1.84887,11.2224
20150106 17:00,0.870031428856984,-1.09037,8.25117,-1.30752,11.8963
20150106 18:00,0.899567017622978,-0.808921,8.54304,-0.910682,12.2916
20150106 19:00,0.884945532004535,-0.330478,7.93485,-0.117537,11.5052
20150106 20:00,0.843916946215068,1.06736,7.04356,1.94254,10.2982
20150106 21:00,0.813382397940338,1.26098,6.57523,2.22329,9.49667
20150106 22:00,0.816895193050523,2.24852,6.75017,3.66365,9.75596
20150106 23:00,0.839152668409706,3.38184,6.04884,5.69637,9.06221
20150107 00:00,0.804409126897005,4.78406,-1.22543,7.32193,-2.41355
20150107 01:00,0.656534875625609,4.52966,-5.49343,6.47496,-8.3594
20150107 02:00,0.633104823671043,3.87914,-2.71572,6.24224,-4.81976
20150107 03:00,0.685569073549731,4.77044,-1.67181,7.84249,-3.27073
20150107 04:00,0.627497021269068,5.40018,-1.7798,8.63798,-3.31119
20150107 05:00,0.659331185498335,5.57041,-1.30312,8.90917,-2.57822
20150107 06:00,0.644507087841174,5.44286,-0.374102,8.85219,-1.07975
20150107 07:00,0.556513529303758,5.69687,0.511166,9.21005,0.394281
20150107 08:00,0.553893738814938,5.62409,0.801691,9.07627,0.862323
20150107 09:00,0.686055226901309,6.17161,0.955916,9.49746,1.07284
20150107 10:00,0.59598357098869,6.31147,1.34315,9.45227,1.63762
20150107 11:00,0.71011157422883,6.25058,2.31262,9.21243,3.02591
20150107 12:00,0.757885643417914,5.03668,2.87861,7.75248,3.7513
20150107 13:00,0.687505807231883,4.96363,3.73298,7.77614,5.18463
20150107 14:00,0.687249220984999,5.05299,4.69363,7.91168,6.6844
20150107 15:00,0.71848739110954,4.31592,5.25132,7.05751,7.65
20150107 16:00,0.745747928566243,3.85228,5.79509,6.55937,8.63567
20150107 17:00,0.769328235691971,3.83687,6.44344,6.48774,9.40759
20150107 18:00,0.789944682182626,4.1807,7.0274,6.83723,10.1835
20150107 19:00,0.904480340026853,4.97459,7.70479,7.98274,11.1555
20150107 20:00,0.935783660488784,5.10038,8.36836,8.03334,12.1022
20150107 21:00,0.965947111867467,4.77595,9.29598,7.55181,13.4385
20150107 22:00,0.973403755652593,5.13488,10.0153,8.08299,14.4961
20150107 23:00,0.982307435875864,6.05784,10.3075,9.4126,14.91
20150108 00:00,0.984511157325972,6.76533,10.295,10.5028,14.8638
20150108 01:00,0.981228535751845,5.9933,10.5321,9.43657,15.3334
20150108 02:00,0.978589351377642,6.43139,9.83512,10.1474,14.2064
20150108 03:00,0.980748550610182,7.06769,8.81823,11.0954,12.624
20150108 04:00,0.969695559782156,8.46652,7.60283,13.0201,10.8674
20150108 05:00,0.958229619417151,9.16093,5.95264,13.9622,8.40861
20150108 06:00,0.909500118500259,8.39602,4.32242,12.8995,5.91088
20150108 07:00,0.843392522048905,7.43731,3.08224,11.5548,4.05168
20150108 08:00,0.793105229802869,6.46549,2.84332,10.2873,3.77711
20150108 09:00,0.68112115514173,6.20878,2.4926,9.88745,3.24609
20150108 10:00,0.695223917250744,6.46801,1.89343,9.91069,2.29075
20150108 11:00,0.850270628198575,7.49909,1.05614,11.2257,1.14494
20150108 12:00,0.677088275038775,7.37876,0.088269,10.896,-0.235389
20150108 13:00,0.621287178548565,6.69018,0.4717,10.034,0.225704
20150108 14:00,0.627212741061385,6.64531,0.50204,10.0936,0.255244
20150108 15:00,0.618187886501498,6.33728,0.699857,9.73436,0.552027
20150108 16:00,0.638302524929086,6.93096,0.201252,10.533,-0.199266
20150108 17:00,0.8124366015022,7.66171,-1.5597,11.345,-2.74549
20150108 18:00,0.734293335502226,7.14221,-1.41444,10.641,-2.54732
20150108 19:00,0.820308837651414,8.0122,-1.40533,11.8243,-2.54135
20150108 20:00,0.893840667846791,9.0902,-1.67783,13.3518,-2.81129
20150108 21:00,0.936591060710021,9.24587,-1.81063,13.5042,-2.96134
20150108 22:00,1,8.49391,-1.54011,12.5214,-2.6476
20150108 23:00,0.891728200469386,8.62003,-0.957649,12.7546,-1.74593
20150109 00:00,0.896991153769649,8.26263,0.195554,12.29,-0.0517814
20150109 01:00,1,8.17922,0.800658,12.1877,0.840123
20150109 02:00,0.92160166352553,7.11542,4.07688,10.7588,5.67627
20150109 03:00,0.950596605522839,9.34317,5.51562,13.6838,7.69873
20150109 04:00,0.944320283853768,7.02285,7.38296,10.6534,10.5225
20150109 05:00,0.98030906396202,8.41509,10.278,12.7139,14.5681
20150109 06:00,0.995158935233218,12.1463,11.4021,17.9136,16.1291
20150109 07:00,0.996275372500683,15.8434,6.37221,23.1959,9.17198
20150109 08:00,0.993350644647101,14.5618,-0.369729,21.57,-1.05786
20150109 09:00,0.995158318002064,14.8756,-1.15315,21.7444,-2.04218
20150109 10:00,0.998216341853737,15.1524,-1.2146,22.0611,-2.03587
20150109 11:00,0.997974839283152,15.6284,-2.40821,22.5488,-3.70285
20150109 12:00,0.999281091181905,16.5838,-2.97604,23.891,-4.61284
20150109 13:00,0.998176102607868,16.629,-2.59096,23.9164,-4.09603
20150109 14:00,0.992559146740229,16.4992,-2.75018,23.6665,-4.34961
20150109 15:00,0.993639298992641,16.5279,-4.44474,23.6254,-6.68804
20150109 16:00,0.990789660540163,15.9335,-5.00456,22.7525,-7.59954
20150109 17:00,0.988423058977652,14.7736,-5.35781,21.0335,-7.9546
20150109 18:00,0.986290781800436,13.5953,-5.31463,19.3137,-7.88517
20150109 19:00,0.97246056016015,11.662,-4.34614,16.5637,-6.47368
20150109 20:00,0.926680127951867,10.2212,-3.23958,14.631,-4.96374
20150109 21:00,0.852312726261486,8.61096,-1.88109,12.4381,-3.02567
20150109 22:00,0.787880790005494,6.75565,-0.201627,10.0853,-0.633642
20150109 23:00,0.77839489563378,5.34405,1.1834,8.27394,1.44815
20150110 00:00,0.591730125907396,4.91139,2.27894,7.57454,3.13555
20150110 01:00,0.377958493413036,3.86118,4.28264,6.26339,6.07702
20150110 02:00,0.400186989387638,2.54523,5.95826,4.27811,8.68931
20150110 03:00,0.745924723034115,3.56808,6.69936,6.8831,9.65121
20150110 04:00,0.948871441709727,10.3021,2.76309,15.83,3.59276
20150110 05:00,0.976377039479202,12.859,4.09089,19.3217,5.6491
20150110 06:00,0.978707245407423,13.5836,5.79773,20.4004,8.19876
20150110 07:00,0.983867567032209,12.2241,5.30041,18.6367,7.47582
20150110 08:00,0.928058233591711,12.7749,6.17318,19.3659,8.7868
20150110 09:00,0.997844127096739,13.0262,6.77272,19.6598,9.55665
20150110 10:00,0.998432680914047,13.6162,6.81412,20.3931,9.76369
20150110 11:00,0.996967892033771,14.7911,1.15545,21.8874,1.20733
20150110 12:00,0.998596189253834,15.5069,1.84578,22.663,2.26868
20150110 13:00,0.998665211082433,17.0122,-2.40301,24.6396,-4.01032
20150110 14:00,0.997107951768984,16.7713,-2.57217,24.0884,-3.97663
20150110 15:00,0.998103968048751,16.7482,-2.49506,24.0011,-3.88217
20150110 16:00,0.999185890462714,16.8298,-2.98786,24.1055,-4.68057
20150110 17:00,0.997858547905764,18.4539,-4.74368,26.1058,-6.8141
20150110 18:00,0.99878162990296,16.7636,-2.17886,23.7242,-3.11433
20150110 19:00,0.998784718451489,17.2015,-3.59915,24.3427,-5.30449
20150110 20:00,0.999096387713963,16.4419,-3.56527,23.394,-5.39146
20150110 21:00,0.998286822433814,17.3838,-3.56955,24.163,-5.14475
20150110 22:00,0.998704989556613,15.8181,-2.36607,22.5838,-3.77857
20150110 23:00,0.996913743023411,15.3509,-2.5809,21.6034,-3.88487
20150111 00:00,0.99733698505155,15.4232,-3.47546,21.8131,-5.04326
20150111 01:00,0.996761780806133,14.2278,-2.55609,19.8137,-3.73729
20150111 02:00,0.9964473404282,13.029,-2.77678,18.4427,-4.1606
20150111 03:00,0.991995502405993,13.896,-2.55367,19.6284,-3.9483
20150111 04:00,0.994105361685284,12.9876,-2.05394,18.1569,-3.08041
20150111 05:00,0.99801869288106,13.1411,-2.8997,18.271,-4.14919
20150111 06:00,0.99301629562933,13.1454,-3.48657,18.2346,-5.007
20150111 07:00,0.987043986993042,12.6112,-4.07819,17.6112,-5.83973
20150111 08:00,0.992755517702378,13.0762,-4.63263,18.2607,-6.65828
20150111 09:00,0.991042418133903,14.2277,-3.79476,20.0469,-5.6094
20150111 10:00,0.99455910915282,13.602,-3.40967,18.9244,-4.87929
20150111 11:00,0.995643131807194,13.3046,-4.71665,18.8044,-6.81911
20150111 12:00,0.993985447589562,12.8514,-5.63844,18.2123,-8.09196
20150111 13:00,0.99078915660886,12.7806,-6.98342,17.9786,-9.99038
20150111 14:00,0.991521784195126,12.7904,-6.6181,17.8689,-9.40872
20150111 15:00,0.993233379397749,12.2206,-6.95757,17.2254,-10.0167
20150111 16:00,0.9909942373549,12.0421,-6.93699,17.0338,-9.97001
20150111 17:00,0.987380284312463,11.868,-5.93671,16.6448,-8.53139
20150111 18:00,0.956310557144812,10.7861,-4.96637,15.3982,-7.18306
20150111 19:00,0.954337866295769,10.1459,-3.16903,14.6056,-4.78666
20150111 20:00,0.941988510889662,9.40659,-2.13556,13.656,-3.37531
20150111 21:00,0.863241102982463,9.15419,-1.3079,13.3637,-2.23646
20150111 22:00,0.781715480327606,9.76186,0.184476,14.1951,-0.0638952
20150111 23:00,0.902138559036077,10.2996,1.19949,15.0603,1.35218
20150112 00:00,0.953736613811354,11.1974,2.75211,16.3552,3.57322
20150112 01:00,0.968998069865753,11.2317,2.4105,16.4684,3.09895
20150112 02:00,0.967163969320228,9.99761,3.19055,14.8117,4.19888
20150112 03:00,0.964500171218172,9.59088,3.92491,14.264,5.26698
20150112 04:00,0.967463935362844,9.42072,5.09786,14.0297,7.12015
20150112 05:00,0.974195687894186,9.71861,5.73143,14.4355,8.01042
20150112 06:00,0.974691754771359,11.5261,5.58338,16.9012,7.87686
20150112 07:00,0.981896021825087,11.0519,5.41599,16.3491,7.66286
20150112 08:00,0.983891450905541,11.8871,5.88088,17.5349,8.36092
20150112 09:00,0.985975955166551,11.7799,6.56052,17.4481,9.30654
20150112 10:00,NA,11.0005,6.8353,16.4478,9.74659
20150112 11:00,0.990842678488283,10.6172,7.19202,15.9058,10.2043
20150112 12:00,0.992264377200004,10.7446,7.06652,16.1132,10.0166
20150112 13:00,0.991796467132021,11.5752,6.45942,17.2757,9.08366
20150112 14:00,0.991229323080895,11.7287,5.73635,17.5235,7.95307
20150112 15:00,0.994462952624994,12.4746,4.50095,18.3896,6.35411
20150112 16:00,0.989529591477277,12.0278,1.61937,17.7058,1.95252
20150112 17:00,0.984498574950834,10.5126,1.34609,15.543,1.5164
20150112 18:00,0.978993787295266,10.6881,1.41647,15.8459,1.65957
20150112 19:00,0.958536769471679,11.1054,1.77997,16.3916,2.19648
20150112 20:00,0.953744897425144,10.6608,2.48955,15.7586,3.28235
20150112 21:00,0.966178943897616,9.82285,2.35312,14.5518,3.08801
20150112 22:00,0.957454111102469,8.82385,2.35364,13.163,3.13004
20150112 23:00,0.903739160407491,7.57392,2.51667,11.4938,3.36246
20150113 00:00,0.850955831065903,5.94873,2.78834,9.29056,3.84196
20150113 01:00,0.772998797410633,5.5713,2.63917,8.97763,3.66988
20150113 02:00,0.510316150082302,4.25813,3.93619,7.18419,5.90667
20150113 03:00,0.580906443360043,3.39791,4.86014,5.83504,7.41002
20150113 04:00,0.593281388196783,2.47364,5.3001,4.40734,8.16203
20150113 05:00,0.689007250244497,1.54765,6.38664,2.94511,9.71687
20150113 06:00,0.807009564795104,0.870207,6.21059,1.82765,9.4561
20150113 07:00,0.825434327980355,0.172077,4.75948,1.01195,7.6333
20150113 08:00,0.807319969612791,0.331703,3.38821,1.82347,5.23546
20150113 09:00,0.738026095590125,3.14971,3.34195,5.75663,4.60404
20150113 10:00,0.530870211639258,5.82506,3.7105,9.10799,4.9622
20150113 11:00,0.679959382132453,6.07093,4.5142,9.31775,6.17465
20150113 12:00,0.809772715129004,8.38165,3.57298,12.3207,4.8859
20150113 13:00,0.900232847830716,8.27994,2.67244,12.1035,3.54623
20150113 14:00,0.861869511868226,7.81176,0.594776,11.262,0.522666
20150113 15:00,0.844627263210519,6.33661,-0.118399,9.33636,-0.430913
20150113 16:00,0.696652344114455,4.95742,0.187824,8.13802,-0.184679
20150113 17:00,0.689450413034752,4.08247,1.70137,7.28137,2.22415
20150113 18:00,0.779840148821164,4.2585,2.83491,7.49385,4.2149
20150113 19:00,0.754524083513104,4.44946,3.82681,7.50687,5.74944
20150113 20:00,0.622458182888783,5.79068,4.51452,9.07048,6.47995
20150113 21:00,0.74316835299085,5.79435,4.70564,8.99045,6.77793
20150113 22:00,0.756238582695641,5.95789,5.10447,9.04647,7.45888
20150113 23:00,0.860728797697106,6.43915,3.94672,9.96399,5.84955
20150114 00:00,0.870626201577223,6.44992,4.92288,9.56395,7.04869
20150114 01:00,0.912197722445707,7.35272,3.4447,11.4663,4.8864
20150114 02:00,0.908383750337754,7.83082,3.54241,11.789,4.99468
20150114 03:00,0.847057342625156,8.47676,3.34139,12.5872,4.91416
20150114 04:00,0.791158150507139,7.28182,3.37498,10.561,4.78431
20150114 05:00,0.704867923535277,6.49999,4.12691,9.26431,5.98088
20150114 06:00,0.829638400915825,7.13398,3.57387,10.3215,4.90774
20150114 07:00,0.86934506777105,6.3309,3.99611,8.98681,5.48027
20150114 08:00,0.893470128075428,6.84959,3.62338,9.76806,5.00325
20150114 09:00,0.857252816191707,7.49292,2.23486,10.5887,2.95802
20150114 10:00,0.786064203934769,7.80214,2.19556,10.806,2.9286
20150114 11:00,0.903814770349223,8.20431,2.78663,11.2354,3.72753
20150114 12:00,0.948989368491554,8.13305,2.98738,11.1816,4.00279
20150114 13:00,0.924655217072795,7.41264,2.19141,10.5137,2.86111
20150114 14:00,0.885497564782912,6.57475,1.89129,9.51143,2.51833
20150114 15:00,0.902871977239539,6.23351,2.33452,9.29337,3.23018
20150114 16:00,0.865393581653002,6.24669,2.2091,9.84006,3.06798
20150114 17:00,0.839057737812838,6.34706,2.45026,9.93566,3.44859
20150114 18:00,0.776272248529171,6.01027,2.80891,9.54249,4.03162
20150114 19:00,0.747952931274666,5.51012,3.27324,8.92824,4.79804
20150114 20:00,0.843101069625297,5.4423,3.80691,8.82636,5.62426
20150114 21:00,0.904184073334669,5.90411,4.75079,9.37546,6.99966
20150114 22:00,0.937318327465517,5.87762,5.6826,9.34252,8.43131
20150114 23:00,0.956668447994739,5.13618,6.32245,8.23157,9.41407
20150115 00:00,0.92771850664854,3.48888,7.23188,5.88154,10.9003
20150115 01:00,0.943345758330208,0.584,9.47603,1.5575,14.5042
20150115 02:00,0.935518670077356,-0.0484819,9.83563,0.732973,14.7864
20150115 03:00,0.958294640997926,-1.34743,11.0649,-1.29395,16.5416
20150115 04:00,0.979830199932915,-2.17752,11.984,-2.44618,17.8503
20150115 05:00,0.989308423532091,-3.28105,12.1798,-4.01612,18.3491
20150115 06:00,0.988592199257839,-3.25645,13.119,-3.98634,19.9462
20150115 07:00,0.992710910007913,-3.32264,13.6819,-4.10204,21.2776
20150115 08:00,0.992606498123621,-2.93665,13.7523,-3.4625,22.0586
20150115 09:00,0.990452105001754,0.100732,14.9895,0.730589,22.0593
20150115 10:00,0.987081243468835,1.45639,13.2297,2.846,19.5527
20150115 11:00,0.981150632857775,4.55169,11.7714,7.19274,17.2912
20150115 12:00,0.977132480954249,6.68037,9.69545,10.1457,14.0806
20150115 13:00,0.952345359048718,6.6621,8.78635,10.1078,12.6508
20150115 14:00,0.944254797444829,6.81282,8.66055,10.2866,12.4586
20150115 15:00,0.938581043119355,6.35409,8.60997,9.70703,12.4607
20150115 16:00,0.929283328021813,5.07762,9.04442,8.00437,13.2048
20150115 17:00,0.945588121679137,4.51412,9.39386,7.20723,13.6845
20150115 18:00,0.938240702443401,4.9081,9.4516,7.5033,13.8793
20150115 19:00,0.963172306836924,7.671,10.8721,11.0917,15.5213
20150115 20:00,0.975744570974391,8.95694,10.682,13.0996,15.1795
20150115 21:00,0.986950442198128,7.63347,9.45743,11.7017,13.566
20150115 22:00,0.980336090632393,9.33197,10.0679,13.8975,14.4802
20150115 23:00,0.992009046485033,9.70544,10.9296,14.4698,15.6751
20150116 00:00,0.988395664714625,10.0203,12.2372,14.9633,17.5452
20150116 01:00,0.997425228103857,10.1533,10.6434,15.1373,15.3
20150116 02:00,0.997189859635065,9.73969,11.2748,14.5807,16.1478
20150116 03:00,0.996485441718004,9.96383,10.1455,14.8335,14.522
20150116 04:00,0.995855081213961,10.6672,10.0922,15.8247,14.3027
20150116 05:00,0.993320755907193,11.1199,9.62082,16.3617,13.6057
20150116 06:00,0.992703649997726,11.2199,8.66277,16.5035,12.2215
20150116 07:00,0.991403302632291,11.2935,7.57362,16.5771,10.5984
20150116 08:00,0.986063032296364,11.073,6.80799,16.277,9.50249
20150116 09:00,0.980697568675926,10.4524,6.16512,15.2424,8.55261
20150116 10:00,0.980567761621317,10.0869,6.08852,14.5158,8.43293
20150116 11:00,0.972491660025301,9.60355,5.8344,13.8871,8.10751
20150116 12:00,0.941578822240112,8.92599,5.90598,12.5006,8.03841
20150116 13:00,0.912546414204511,8.62443,4.5436,12.2757,6.19886
20150116 14:00,0.907148724752897,8.28129,3.68142,11.904,5.01991
20150116 15:00,0.882791092339265,7.47361,2.88999,11.0725,3.9435
20150116 16:00,0.856839718451145,6.49673,2.72232,10.0223,3.76912
20150116 17:00,0.831793002603544,5.45871,2.64083,8.8138,3.7549
20150116 18:00,0.760627115597176,4.63917,2.7706,7.7759,4.07408
20150116 19:00,0.634670271144641,4.00436,3.00957,6.91184,4.63437
20150116 20:00,0.674870322071003,3.7079,3.46935,6.43497,5.42237
20150116 21:00,0.749730633528118,3.80971,3.5924,6.56881,5.5603
20150116 22:00,0.85887788353342,4.30087,3.48379,7.08051,5.33571
20150116 23:00,0.802085630059132,5.98042,2.04418,9.08883,2.96538
20150117 00:00,0.860997247169577,5.8488,1.08287,8.80177,1.40695
20150117 01:00,0.761802112012706,7.59382,1.15448,10.961,1.49553
20150117 02:00,0.842851417744988,7.42331,0.918715,10.7424,1.10363
20150117 03:00,0.918802536558147,8.28033,1.24113,12.0229,1.60623
20150117 04:00,0.814052101169948,7.72154,1.96733,11.2317,2.60033
20150117 05:00,0.594415580141977,8.66731,1.67038,12.5039,2.15212
