TIMESTAMP,U10,V10,U100,V100
20180107 18:00,2.35032,0.139784,3.01033,-0.891447
20180107 19:00,2.55593,0.186062,3.39098,-0.722999
20180107 20:00,2.45528,0.204437,3.47472,-0.41042
20180107 21:00,2.40516,0.0653248,3.48954,-0.480598
20180107 22:00,2.33466,0.234316,3.36324,-0.498565
20180107 23:00,2.14482,-0.0177889,3.01627,-0.990456
20180108 00:00,1.49295,-1.36096,1.99008,-2.55548
20180108 01:00,0.87152,2.90237,1.19349,2.86063
20180108 02:00,0.229321,2.75836,0.570344,2.66865
20180108 03:00,-0.619308,2.89178,-0.419092,3.31551
20180108 04:00,-0.558372,3.17991,-0.329813,3.9669
20180108 05:00,-0.445732,2.9214,-0.162753,3.36254
20180108 06:00,-0.383459,2.99959,-0.159032,3.60268
20180108 07:00,-0.630791,2.93977,-0.348293,3.61326
20180108 08:00,-1.15895,2.48756,-0.849378,3.05108
20180108 09:00,-1.9361,2.17341,-1.86531,2.97848
20180108 10:00,-2.34412,1.64877,-2.62612,2.65865
20180108 11:00,-2.52541,1.46108,-3.28727,2.43625
20180108 12:00,-2.71885,1.75863,-3.69889,2.60864
20180108 13:00,-2.95468,1.67566,-3.94278,2.47132
20180108 14:00,-3.4707,1.07925,-4.81779,1.96244
20180108 15:00,-4.07055,0.765376,-5.97657,1.91432
20180108 16:00,-4.69132,1.07201,-7.10647,2.54145
20180108 17:00,-5.02915,1.87791,-7.50937,3.60004
20180108 18:00,-5.32263,2.31398,-7.84052,4.29463
20180108 19:00,-5.59139,2.38431,-8.24916,4.49492
20180108 20:00,-5.95669,2.85841,-8.74833,5.06065
20180108 21:00,-6.18743,3.33689,-9.0485,5.63207
20180108 22:00,-6.32111,3.05949,-9.18435,5.20129
20180108 23:00,-6.60013,2.59479,-9.67389,4.67238
20180109 00:00,-7.01816,1.83179,-10.3545,3.53365
20180109 01:00,-8.57901,1.84122,-12.9532,3.76529
20180109 02:00,-8.88895,1.90521,-13.465,3.76887
20180109 03:00,-9.07418,1.69324,-13.8434,3.43278
20180109 04:00,-9.00997,1.9218,-13.6243,3.60937
20180109 05:00,-8.68393,2.45026,-13.0967,4.28942
20180109 06:00,-8.64422,2.9455,-12.9751,5.0933
20180109 07:00,-8.75294,3.36789,-13.1611,5.70349
20180109 08:00,-8.98687,3.31407,-13.5525,5.63201
20180109 09:00,-9.16079,3.06165,-13.7248,5.21238
20180109 10:00,-9.23347,2.99904,-13.6908,4.87
20180109 11:00,-8.96148,3.50804,-12.876,5.37982
20180109 12:00,-9.24895,3.34985,-13.1842,5.13958
20180109 13:00,-8.50972,3.36241,-12.2961,5.34231
20180109 14:00,-8.38859,2.97909,-12.4044,5.02894
20180109 15:00,-8.24452,2.75771,-12.2793,4.74485
20180109 16:00,-8.16453,2.57404,-12.2337,4.55294
20180109 17:00,-8.07485,2.70925,-12.1247,4.75884
20180109 18:00,-7.83339,3.26103,-12.0944,5.76689
20180109 19:00,-7.71121,3.21086,-11.6969,5.66025
20180109 20:00,-7.34688,2.91236,-11.0656,5.22844
20180109 21:00,-6.82726,2.90566,-10.1677,5.11437
20180109 22:00,-6.59717,2.49026,-9.77212,4.68443
20180109 23:00,-6.50419,2.2806,-9.59652,4.27428
20180110 00:00,-6.24548,2.28731,-9.11735,4.21019
20180110 01:00,-5.40715,2.57791,-7.45964,4.25225
20180110 02:00,-5.11928,3.77705,-6.72403,5.49261
20180110 03:00,-5.02581,3.74639,-6.43936,5.52526
20180110 04:00,-4.28151,3.57499,-5.4398,5.29545
20180110 05:00,-4.42629,3.41593,-5.72653,5.1488
20180110 06:00,-3.86857,3.50925,-4.87135,5.44404
20180110 07:00,-4.64284,2.21198,-5.9315,3.9834
20180110 08:00,-4.23577,3.11063,-5.23472,5.34424
20180110 09:00,-4.04546,2.56949,-4.87364,4.62081
20180110 10:00,-5.03557,2.09705,-6.65061,3.84914
20180110 11:00,-4.23142,2.26988,-5.59571,4.04523
20180110 12:00,-3.75606,2.34533,-5.03218,3.74363
20180110 13:00,-4.53723,2.4886,-5.25295,3.05366
20180110 14:00,-4.67223,2.21369,-6.64108,3.75765
20180110 15:00,-4.44974,2.98713,-6.40341,4.84121
20180110 16:00,-4.50547,2.91019,-6.43876,5.22903
20180110 17:00,-5.05828,2.25308,-7.33351,4.42478
20180110 18:00,-4.84765,2.14637,-7.33018,4.19601
20180110 19:00,-3.77432,3.0096,-5.48564,5.28809
20180110 20:00,-4.25564,2.65101,-5.91531,4.90045
20180110 21:00,-4.24773,2.7267,-5.77497,4.63955
20180110 22:00,-4.552,2.16924,-6.1148,3.99405
20180110 23:00,-4.63597,1.79839,-6.31836,3.4608
20180111 00:00,-4.3416,1.84041,-5.80788,3.25725
20180111 01:00,-4.8022,2.51316,-6.09807,3.38894
20180111 02:00,-4.23018,1.49742,-5.86017,2.695
20180111 03:00,-4.07148,1.46204,-5.21636,2.00375
20180111 04:00,-4.59298,1.01102,-5.85843,1.4398
20180111 05:00,-4.63016,0.719446,-6.02979,1.15968
20180111 06:00,-4.89593,0.718412,-6.37507,1.20502
20180111 07:00,-4.30549,1.33273,-5.63287,1.95706
20180111 08:00,-3.86209,0.903462,-5.04738,1.42492
20180111 09:00,-3.75445,0.413465,-4.80724,0.778662
20180111 10:00,-3.32749,0.423095,-4.02322,0.643379
20180111 11:00,-2.74137,0.290858,-3.29359,0.379655
20180111 12:00,-1.85012,-1.18614,-2.27437,-1.33003
20180111 13:00,-2.57689,-2.12323,-3.11272,-2.43037
20180111 14:00,-2.96155,-2.83251,-3.64695,-3.35178
20180111 15:00,-3.03322,-2.80272,-3.99606,-3.60407
20180111 16:00,-3.2127,-2.93711,-4.29637,-3.83338
20180111 17:00,-2.96348,-3.10859,-4.14169,-3.94555
20180111 18:00,-2.92461,-2.74997,-4.59014,-3.3662
20180111 19:00,-3.22796,-2.34836,-4.91705,-2.88021
20180111 20:00,-3.06905,-2.43328,-4.56862,-2.97349
20180111 21:00,-3.43227,-2.64892,-4.94006,-3.2867
20180111 22:00,-3.56858,-2.9762,-5.15673,-3.67991
20180111 23:00,-4.32155,-2.86681,-5.85501,-3.47054
20180112 00:00,-4.35584,-2.60392,-6.03757,-3.06648
20180112 01:00,-4.37358,-1.99595,-5.88571,-2.21957
20180112 02:00,-4.63305,-1.81211,-6.16203,-2.00472
20180112 03:00,-4.59287,-1.46842,-6.15753,-1.57296
20180112 04:00,-4.43301,-1.79816,-6.03917,-1.99591
20180112 05:00,-4.67568,-1.91284,-6.38356,-2.09656
20180112 06:00,-5.27354,-1.62325,-7.22209,-1.76237
20180112 07:00,-5.48529,-1.30332,-7.50476,-1.30273
20180112 08:00,-5.6165,-1.21784,-7.62346,-1.14468
20180112 09:00,-5.90679,-1.12295,-7.95051,-1.04135
20180112 10:00,-6.52786,-0.696145,-8.52227,-0.622523
20180112 11:00,-6.83204,-0.274027,-8.94908,-0.0756357
20180112 12:00,-7.22564,0.521077,-9.25559,0.831509
20180112 13:00,-6.88675,0.380137,-9.02693,0.644829
20180112 14:00,-6.87922,0.473839,-9.09823,0.82327
20180112 15:00,-6.85406,0.222952,-9.28096,0.632539
20180112 16:00,-7.08011,0.164351,-9.74494,0.708715
20180112 17:00,-7.07576,0.298354,-9.77612,1.00347
20180112 18:00,-6.67289,0.669545,-9.2324,1.61108
20180112 19:00,-6.27663,0.724386,-8.73492,1.58328
20180112 20:00,-6.15097,0.651025,-8.36357,1.32654
20180112 21:00,-6.28621,1.1271,-8.31555,1.86139
20180112 22:00,-6.35045,1.16226,-8.40049,1.78401
20180112 23:00,-6.26031,0.745473,-8.28484,1.33073
20180113 00:00,-6.16367,1.05403,-8.04469,1.68501
20180113 01:00,-6.79333,1.15931,-8.88036,1.73153
20180113 02:00,-6.44103,1.47965,-8.37271,2.14389
20180113 03:00,-6.19999,1.35722,-8.01697,1.98646
20180113 04:00,-6.14557,1.59794,-7.84863,2.35326
20180113 05:00,-6.22765,1.96626,-7.92695,2.85193
20180113 06:00,-6.051,2.40883,-7.74633,3.3852
20180113 07:00,-5.85179,2.78636,-7.40893,3.84826
20180113 08:00,-5.76973,3.69395,-7.28963,4.95516
20180113 09:00,-5.86509,4.18181,-7.40678,5.51919
20180113 10:00,-6.20542,4.7418,-7.6817,6.0204
20180113 11:00,-6.01468,4.5462,-7.61033,5.90672
20180113 12:00,-6.17433,4.58678,-7.88319,5.99296
20180113 13:00,-6.48809,4.72446,-8.15965,6.05783
20180113 14:00,-6.54745,4.61906,-8.34278,6.02816
20180113 15:00,-6.44854,4.60426,-8.26023,6.05177
20180113 16:00,-6.34452,4.8273,-8.1139,6.35031
20180113 17:00,-6.67887,5.37865,-8.58215,7.08777
20180113 18:00,-7.29446,4.94499,-9.47506,6.59035
20180113 19:00,-7.51126,5.22195,-9.77796,6.91459
20180113 20:00,-7.45017,5.63151,-9.57087,7.34855
20180113 21:00,-6.99873,5.79004,-8.93076,7.49684
20180113 22:00,-6.73336,5.67707,-8.4807,7.30395
20180113 23:00,-6.48037,5.42287,-8.10919,7.04928
20180114 00:00,-6.16928,5.60971,-7.74648,7.25754
20180114 01:00,-6.141,4.32139,-7.50814,5.54842
20180114 02:00,-6.08454,5.43132,-7.43838,6.88695
20180114 03:00,-5.88747,6.05466,-7.21516,7.64946
20180114 04:00,-5.59053,6.14542,-6.84922,7.71105
20180114 05:00,-5.32495,6.30382,-6.52933,7.94927
20180114 06:00,-5.31766,6.21299,-6.54484,7.82427
20180114 07:00,-5.24192,6.91062,-6.38017,8.65446
20180114 08:00,-5.03536,7.38249,-6.14383,9.25644
20180114 09:00,-5.05752,7.39009,-6.0857,9.15809
20180114 10:00,-4.39203,7.82116,-5.24504,9.60861
20180114 11:00,-3.7476,8.08703,-4.49436,9.95819
20180114 12:00,-3.48404,8.12134,-4.20377,9.91628
20180114 13:00,-3.62607,7.9058,-4.41096,9.63286
20180114 14:00,-4.32985,7.09595,-5.27178,8.77976
20180114 15:00,-4.20345,6.72433,-5.18194,8.45718
20180114 16:00,-4.80274,6.48909,-5.97307,8.20789
20180114 17:00,-5.49159,6.60616,-6.88701,8.56666
20180114 18:00,-5.52326,7.43623,-7.01068,9.80591
20180114 19:00,-5.27575,8.97886,-6.73538,11.7254
20180114 20:00,-4.98664,9.7336,-6.36179,12.7864
20180114 21:00,-4.3389,10.5667,-5.51551,13.7729
20180114 22:00,-3.92685,10.6285,-4.92984,13.967
20180114 23:00,-2.85616,10.7536,-3.43833,14.0378
20180115 00:00,-2.16119,10.8317,-2.41339,13.9474
20180115 01:00,-3.74678,10.49,-4.51968,13.6781
20180115 02:00,-4.31968,10.7061,-5.27984,13.9355
20180115 03:00,-5.04066,11.2744,-6.20027,14.8279
20180115 04:00,-4.15786,11.5413,-5.18072,15.1445
20180115 05:00,-4.63646,11.5727,-5.75948,15.3695
20180115 06:00,-4.03463,12.2306,-5.01549,16.2142
20180115 07:00,-3.73937,12.0005,-4.6207,15.9786
20180115 08:00,-2.84595,12.2441,-3.49105,16.2918
20180115 09:00,-1.94934,12.2796,-2.33334,16.1228
20180115 10:00,-1.66932,13.1223,-1.85226,17.2843
20180115 11:00,-1.8828,13.3065,-2.33781,17.8274
20180115 12:00,-1.69236,13.3261,-1.93145,19.108
20180115 13:00,-0.874972,14.6615,-0.492547,22.2551
20180115 14:00,-1.76946,13.0474,-2.02075,18.955
20180115 15:00,-3.51286,12.3267,-4.29242,18.3907
20180115 16:00,-2.89511,14.4583,-3.59802,20.1323
20180115 17:00,-1.89822,14.5217,-2.33999,20.7079
20180115 18:00,-1.48175,13.8307,-1.66267,19.7616
20180115 19:00,-2.03564,12.1342,-2.19451,19.2403
20180115 20:00,-0.997482,13.0388,-0.978867,18.4571
20180115 21:00,-0.702107,12.8114,-0.625937,17.3791
20180115 22:00,-0.794651,11.3847,-0.868406,15.1459
20180115 23:00,0.286083,10.7297,0.651711,14.4135
20180116 00:00,3.0305,9.36789,4.3018,12.1374
20180116 01:00,6.56502,3.65834,8.85182,4.39753
20180116 02:00,10.9491,-1.00152,13.9954,-1.35348
20180116 03:00,9.91022,2.35846,13.1946,2.81132
20180116 04:00,9.03922,2.24047,12.1968,2.68891
20180116 05:00,8.52474,3.17734,11.5899,3.94659
20180116 06:00,8.20425,3.45707,11.2253,4.32368
20180116 07:00,7.46224,3.48936,10.1211,4.53787
20180116 08:00,6.98771,3.72624,9.44479,4.93227
20180116 09:00,6.88921,3.64647,9.08097,4.55565
20180116 10:00,6.051,2.44678,7.95742,2.91961
20180116 11:00,7.63405,2.07456,9.78135,2.5579
20180116 12:00,8.041,1.61467,10.178,1.93427
20180116 13:00,8.34085,0.841281,10.5315,0.887911
20180116 14:00,8.3595,-0.887451,10.5242,-1.28183
20180116 15:00,8.20034,-1.10888,10.2787,-1.4635
20180116 16:00,7.35154,0.100607,9.67713,-0.23305
20180116 17:00,7.36928,0.594464,9.51638,0.509192
20180116 18:00,7.23206,1.45706,9.541,1.59038
20180116 19:00,8.47869,0.474057,10.7365,0.501598
20180116 20:00,8.19186,1.34093,10.3782,1.5691
20180116 21:00,8.2838,2.54074,10.5267,3.08832
20180116 22:00,8.55399,2.51781,10.7073,3.03678
20180116 23:00,7.95411,2.43302,9.96004,2.96485
20180117 00:00,7.86496,2.3623,9.87966,2.88088
20180117 01:00,4.73754,2.59395,6.09518,3.12671
20180117 02:00,4.36684,3.43375,5.61651,4.11311
20180117 03:00,4.57404,3.24096,5.89501,3.98835
20180117 04:00,5.14001,1.61282,6.45708,2.04319
20180117 05:00,5.75098,0.76406,7.37352,0.841817
20180117 06:00,4.9883,-0.319499,6.25115,-0.390278
20180117 07:00,5.34681,0.500791,6.85438,0.392069
20180117 08:00,6.54014,0.466783,8.16732,0.552157
20180117 09:00,6.96601,0.452087,8.65526,0.453877
20180117 10:00,6.62362,0.792402,8.20932,0.866388
20180117 11:00,7.3713,0.248759,9.05313,0.236324
20180117 12:00,7.70434,-1.24129,9.48277,-1.59805
20180117 13:00,7.49818,-2.72075,9.34766,-3.42523
20180117 14:00,6.63603,-4.09796,8.31644,-5.08078
20180117 15:00,5.93026,-4.61976,7.52151,-5.84804
20180117 16:00,5.97056,-3.05901,7.45716,-3.93309
20180117 17:00,5.46794,-2.63464,6.92469,-3.36869
20180117 18:00,4.76348,-1.04871,6.45742,-1.54964
20180117 19:00,6.2527,0.681785,8.76084,0.359877
20180117 20:00,7.53215,-0.746566,9.50299,-1.12162
20180117 21:00,8.65315,-0.975,11.0606,-1.28438
20180117 22:00,7.60507,0.110844,9.71363,0.0737209
20180117 23:00,8.72726,0.0954607,11.1406,0.0163704
20180118 00:00,9.26246,1.46409,11.6835,1.74433
20180118 01:00,6.68113,3.41226,8.70788,4.24909
20180118 02:00,6.12755,3.694,8.31437,4.615
20180118 03:00,5.03725,4.72273,6.64222,5.90222
20180118 04:00,3.87056,4.34488,5.23183,5.57217
20180118 05:00,3.18759,4.95092,4.44333,6.35586
20180118 06:00,1.45457,5.1862,2.22763,6.82379
20180118 07:00,0.880279,5.26491,1.37078,6.83384
20180118 08:00,-1.1973,5.02036,-1.33285,6.41835
20180118 09:00,-3.44449,3.60941,-4.4041,5.38294
20180118 10:00,-3.76062,1.94533,-4.65763,3.23703
20180118 11:00,-2.79046,-1.52853,-3.58749,-1.33935
20180118 12:00,-1.62527,-3.99372,-2.19418,-4.66308
20180118 13:00,-0.00549316,-4.2185,-0.384126,-5.62033
20180118 14:00,0.666383,-3.92216,0.675541,-5.0218
20180118 15:00,1.12738,-3.91286,1.51649,-4.98883
20180118 16:00,1.61735,-4.21242,1.9958,-5.34575
20180118 17:00,1.65114,-3.56963,2.1421,-4.37605
20180118 18:00,2.06348,-2.72608,2.71957,-3.29297
20180118 19:00,3.20943,-2.65266,4.17045,-3.65325
20180118 20:00,3.80545,-3.64123,5.06146,-4.92233
20180118 21:00,3.73395,-3.29389,5.21321,-4.68642
20180118 22:00,3.66333,-3.00519,5.1431,-4.29396
20180118 23:00,3.28646,-2.61327,4.75846,-3.79328
20180119 00:00,3.13149,-2.27709,4.49252,-3.23189
20180119 01:00,3.80031,-0.671349,4.93672,-1.06783
20180119 02:00,3.85858,-0.964334,4.9006,-1.31771
20180119 03:00,3.83288,-1.16545,4.89147,-1.55341
20180119 04:00,4.04594,-1.09032,5.2358,-1.50455
20180119 05:00,4.04005,-1.14072,5.30621,-1.62042
20180119 06:00,3.85561,-0.77853,4.86264,-1.185
20180119 07:00,3.86509,-0.810341,4.67302,-1.05625
20180119 08:00,3.45277,-0.448622,4.42119,-0.504932
20180119 09:00,3.00882,1.83795,4.07908,2.14537
20180119 10:00,2.86886,2.25088,3.75617,2.62131
20180119 11:00,3.35854,2.92079,4.2482,3.41854
20180119 12:00,4.24506,2.94854,5.33675,3.53036
20180119 13:00,3.54298,2.80163,4.27576,3.23916
20180119 14:00,3.55773,2.6067,4.5089,3.14582
20180119 15:00,3.41892,2.21474,4.46137,2.70018
20180119 16:00,3.94409,2.04651,5.23781,2.50593
20180119 17:00,4.15629,1.519,5.35065,1.86324
20180119 18:00,4.01357,2.23774,5.20823,2.68654
20180119 19:00,3.88112,2.18741,4.99055,2.64999
20180119 20:00,4.02571,2.21,5.25425,2.65103
20180119 21:00,4.52831,2.23314,5.89045,2.72243
20180119 22:00,4.34122,2.38016,5.75783,2.97423
20180119 23:00,4.23238,2.51907,5.71957,3.24174
20180120 00:00,4.07158,2.90734,5.51487,3.70166
20180120 01:00,4.20107,3.25472,5.44446,3.98086
20180120 02:00,2.71781,3.95594,3.83718,4.95332
20180120 03:00,1.51807,4.28903,2.80999,5.79908
20180120 04:00,2.38835,4.69399,3.74717,6.35301
20180120 05:00,2.30217,4.15768,3.80614,5.76991
20180120 06:00,3.4321,4.42616,5.10725,5.95044
20180120 07:00,2.38127,4.21221,3.44859,5.45777
20180120 08:00,1.4844,4.44467,2.67716,6.2191
20180120 09:00,0.334721,4.74515,1.1767,6.72493
20180120 10:00,1.52857,5.85506,2.29165,7.51723
20180120 11:00,0.584915,5.34282,0.843743,6.61915
20180120 12:00,1.72265,3.36166,2.15641,4.15207
20180120 13:00,3.83922,1.1665,4.85832,1.33195
20180120 14:00,4.01188,0.724518,5.38749,0.698472
20180120 15:00,3.00382,1.2703,4.60046,1.47539
20180120 16:00,2.70031,1.53959,4.15963,1.97038
20180120 17:00,1.59822,2.30527,2.74593,3.03934
20180120 18:00,0.290759,2.50999,1.25253,3.40177
20180120 19:00,-0.756383,3.50002,-0.385683,4.75623
20180120 20:00,-1.86225,3.15336,-1.90958,4.43242
20180120 21:00,-1.65401,3.90192,-1.40383,5.69942
20180120 22:00,-1.47813,3.55563,-1.28283,5.06952
20180120 23:00,-1.79005,3.66829,-1.98977,5.1887
20180121 00:00,-3.26237,2.97205,-3.9321,4.58005
20180121 01:00,-4.50567,1.81821,-5.78923,3.1477
20180121 02:00,-4.37902,1.45738,-5.62434,2.9271
20180121 03:00,-4.17407,1.2612,-5.36393,2.65648
20180121 04:00,-4.40721,0.944864,-5.85562,2.16174
20180121 05:00,-4.36112,0.994429,-5.96099,2.185
20180121 06:00,-3.68492,0.185011,-5.24825,1.30342
20180121 07:00,-2.90176,0.743368,-3.99442,1.98721
20180121 08:00,-3.31407,0.037186,-4.19968,1.25737
20180121 09:00,-3.48928,0.385327,-4.38,1.79055
20180121 10:00,-2.90221,1.50331,-3.52565,2.75827
20180121 11:00,-2.24717,2.48224,-2.5076,3.08483
20180121 12:00,-1.63758,3.12545,-1.75407,3.49831
